n	k	t	i	j	beta
2	0	0	0	0	1
2	0	0	0	1	2
2	0	0	0	2	1
2	0	0	1	0	2
2	0	0	1	1	2
2	0	0	2	0	1
2	0	1	1	1	2
2	0	1	1	2	2
2	0	1	2	1	2
2	0	2	2	2	1
2	1	0	1	1	-1
2	1	1	1	1	1
3	0	0	0	0	1
3	0	0	0	1	3
3	0	0	0	2	3
3	0	0	0	3	1
3	0	0	1	0	3
3	0	0	1	1	6
3	0	0	1	2	3
3	0	0	2	0	3
3	0	0	2	1	3
3	0	0	3	0	1
3	0	1	1	1	3
3	0	1	1	2	6
3	0	1	1	3	3
3	0	1	2	1	6
3	0	1	2	2	6
3	0	1	3	1	3
3	0	2	2	2	3
3	0	2	2	3	3
3	0	2	3	2	3
3	0	3	3	3	1
3	1	0	1	1	-1
3	1	0	1	2	-1
3	1	0	2	1	-1
3	1	1	1	1	1
3	1	1	1	2	1
3	1	1	2	1	1
3	1	1	2	2	-1
3	1	2	2	2	1
4	0	0	0	0	1
4	0	0	0	1	4
4	0	0	0	2	6
4	0	0	0	3	4
4	0	0	0	4	1
4	0	0	1	0	4
4	0	0	1	1	12
4	0	0	1	2	12
4	0	0	1	3	4
4	0	0	2	0	6
4	0	0	2	1	12
4	0	0	2	2	6
4	0	0	3	0	4
4	0	0	3	1	4
4	0	0	4	0	1
4	0	1	1	1	4
4	0	1	1	2	12
4	0	1	1	3	12
4	0	1	1	4	4
4	0	1	2	1	12
4	0	1	2	2	24
4	0	1	2	3	12
4	0	1	3	1	12
4	0	1	3	2	12
4	0	1	4	1	4
4	0	2	2	2	6
4	0	2	2	3	12
4	0	2	2	4	6
4	0	2	3	2	12
4	0	2	3	3	12
4	0	2	4	2	6
4	0	3	3	3	4
4	0	3	3	4	4
4	0	3	4	3	4
4	0	4	4	4	1
4	1	0	1	1	-1
4	1	0	1	2	-2
4	1	0	1	3	-1
4	1	0	2	1	-2
4	1	0	2	2	-2
4	1	0	3	1	-1
4	1	1	1	1	1
4	1	1	1	2	2
4	1	1	1	3	1
4	1	1	2	1	2
4	1	1	2	3	-2
4	1	1	3	1	1
4	1	1	3	2	-2
4	1	2	2	2	2
4	1	2	2	3	2
4	1	2	3	2	2
4	1	2	3	3	-1
4	1	3	3	3	1
4	2	0	2	2	1
4	2	1	2	2	-2
4	2	2	2	2	1
5	0	0	0	0	1
5	0	0	0	1	5
5	0	0	0	2	10
5	0	0	0	3	10
5	0	0	0	4	5
5	0	0	0	5	1
5	0	0	1	0	5
5	0	0	1	1	20
5	0	0	1	2	30
5	0	0	1	3	20
5	0	0	1	4	5
5	0	0	2	0	10
5	0	0	2	1	30
5	0	0	2	2	30
5	0	0	2	3	10
5	0	0	3	0	10
5	0	0	3	1	20
5	0	0	3	2	10
5	0	0	4	0	5
5	0	0	4	1	5
5	0	0	5	0	1
5	0	1	1	1	5
5	0	1	1	2	20
5	0	1	1	3	30
5	0	1	1	4	20
5	0	1	1	5	5
5	0	1	2	1	20
5	0	1	2	2	60
5	0	1	2	3	60
5	0	1	2	4	20
5	0	1	3	1	30
5	0	1	3	2	60
5	0	1	3	3	30
5	0	1	4	1	20
5	0	1	4	2	20
5	0	1	5	1	5
5	0	2	2	2	10
5	0	2	2	3	30
5	0	2	2	4	30
5	0	2	2	5	10
5	0	2	3	2	30
5	0	2	3	3	60
5	0	2	3	4	30
5	0	2	4	2	30
5	0	2	4	3	30
5	0	2	5	2	10
5	0	3	3	3	10
5	0	3	3	4	20
5	0	3	3	5	10
5	0	3	4	3	20
5	0	3	4	4	20
5	0	3	5	3	10
5	0	4	4	4	5
5	0	4	4	5	5
5	0	4	5	4	5
5	0	5	5	5	1
5	1	0	1	1	-1
5	1	0	1	2	-3
5	1	0	1	3	-3
5	1	0	1	4	-1
5	1	0	2	1	-3
5	1	0	2	2	-6
5	1	0	2	3	-3
5	1	0	3	1	-3
5	1	0	3	2	-3
5	1	0	4	1	-1
5	1	1	1	1	1
5	1	1	1	2	3
5	1	1	1	3	3
5	1	1	1	4	1
5	1	1	2	1	3
5	1	1	2	2	3
5	1	1	2	3	-3
5	1	1	2	4	-3
5	1	1	3	1	3
5	1	1	3	2	-3
5	1	1	3	3	-6
5	1	1	4	1	1
5	1	1	4	2	-3
5	1	2	2	2	3
5	1	2	2	3	6
5	1	2	2	4	3
5	1	2	3	2	6
5	1	2	3	3	3
5	1	2	3	4	-3
5	1	2	4	2	3
5	1	2	4	3	-3
5	1	3	3	3	3
5	1	3	3	4	3
5	1	3	4	3	3
5	1	3	4	4	-1
5	1	4	4	4	1
5	2	0	2	2	1
5	2	0	2	3	1
5	2	0	3	2	1
5	2	1	2	2	-2
5	2	1	2	3	-2
5	2	1	3	2	-2
5	2	1	3	3	1
5	2	2	2	2	1
5	2	2	2	3	1
5	2	2	3	2	1
5	2	2	3	3	-2
5	2	3	3	3	1
6	0	0	0	0	1
6	0	0	0	1	6
6	0	0	0	2	15
6	0	0	0	3	20
6	0	0	0	4	15
6	0	0	0	5	6
6	0	0	0	6	1
6	0	0	1	0	6
6	0	0	1	1	30
6	0	0	1	2	60
6	0	0	1	3	60
6	0	0	1	4	30
6	0	0	1	5	6
6	0	0	2	0	15
6	0	0	2	1	60
6	0	0	2	2	90
6	0	0	2	3	60
6	0	0	2	4	15
6	0	0	3	0	20
6	0	0	3	1	60
6	0	0	3	2	60
6	0	0	3	3	20
6	0	0	4	0	15
6	0	0	4	1	30
6	0	0	4	2	15
6	0	0	5	0	6
6	0	0	5	1	6
6	0	0	6	0	1
6	0	1	1	1	6
6	0	1	1	2	30
6	0	1	1	3	60
6	0	1	1	4	60
6	0	1	1	5	30
6	0	1	1	6	6
6	0	1	2	1	30
6	0	1	2	2	120
6	0	1	2	3	180
6	0	1	2	4	120
6	0	1	2	5	30
6	0	1	3	1	60
6	0	1	3	2	180
6	0	1	3	3	180
6	0	1	3	4	60
6	0	1	4	1	60
6	0	1	4	2	120
6	0	1	4	3	60
6	0	1	5	1	30
6	0	1	5	2	30
6	0	1	6	1	6
6	0	2	2	2	15
6	0	2	2	3	60
6	0	2	2	4	90
6	0	2	2	5	60
6	0	2	2	6	15
6	0	2	3	2	60
6	0	2	3	3	180
6	0	2	3	4	180
6	0	2	3	5	60
6	0	2	4	2	90
6	0	2	4	3	180
6	0	2	4	4	90
6	0	2	5	2	60
6	0	2	5	3	60
6	0	2	6	2	15
6	0	3	3	3	20
6	0	3	3	4	60
6	0	3	3	5	60
6	0	3	3	6	20
6	0	3	4	3	60
6	0	3	4	4	120
6	0	3	4	5	60
6	0	3	5	3	60
6	0	3	5	4	60
6	0	3	6	3	20
6	0	4	4	4	15
6	0	4	4	5	30
6	0	4	4	6	15
6	0	4	5	4	30
6	0	4	5	5	30
6	0	4	6	4	15
6	0	5	5	5	6
6	0	5	5	6	6
6	0	5	6	5	6
6	0	6	6	6	1
6	1	0	1	1	-1
6	1	0	1	2	-4
6	1	0	1	3	-6
6	1	0	1	4	-4
6	1	0	1	5	-1
6	1	0	2	1	-4
6	1	0	2	2	-12
6	1	0	2	3	-12
6	1	0	2	4	-4
6	1	0	3	1	-6
6	1	0	3	2	-12
6	1	0	3	3	-6
6	1	0	4	1	-4
6	1	0	4	2	-4
6	1	0	5	1	-1
6	1	1	1	1	1
6	1	1	1	2	4
6	1	1	1	3	6
6	1	1	1	4	4
6	1	1	1	5	1
6	1	1	2	1	4
6	1	1	2	2	8
6	1	1	2	4	-8
6	1	1	2	5	-4
6	1	1	3	1	6
6	1	1	3	3	-18
6	1	1	3	4	-12
6	1	1	4	1	4
6	1	1	4	2	-8
6	1	1	4	3	-12
6	1	1	5	1	1
6	1	1	5	2	-4
6	1	2	2	2	4
6	1	2	2	3	12
6	1	2	2	4	12
6	1	2	2	5	4
6	1	2	3	2	12
6	1	2	3	3	18
6	1	2	3	5	-6
6	1	2	4	2	12
6	1	2	4	4	-12
6	1	2	5	2	4
6	1	2	5	3	-6
6	1	3	3	3	6
6	1	3	3	4	12
6	1	3	3	5	6
6	1	3	4	3	12
6	1	3	4	4	8
6	1	3	4	5	-4
6	1	3	5	3	6
6	1	3	5	4	-4
6	1	4	4	4	4
6	1	4	4	5	4
6	1	4	5	4	4
6	1	4	5	5	-1
6	1	5	5	5	1
6	2	0	2	2	1
6	2	0	2	3	2
6	2	0	2	4	1
6	2	0	3	2	2
6	2	0	3	3	2
6	2	0	4	2	1
6	2	1	2	2	-2
6	2	1	2	3	-4
6	2	1	2	4	-2
6	2	1	3	2	-4
6	2	1	3	3	-2
6	2	1	3	4	2
6	2	1	4	2	-2
6	2	1	4	3	2
6	2	2	2	2	1
6	2	2	2	3	2
6	2	2	2	4	1
6	2	2	3	2	2
